fecha,producto,region,canal,unidades,ingresos,satisfaccion
2025-02-14,Premium,Trujillo,Web,5,730.17,5.1
2025-02-14,Estándar,Lima,Web,7,735.98,7.8
2025-02-14,Premium,Trujillo,App,2,275.33,8.6
2025-02-15,Estándar,Trujillo,Tienda,1,78.67,7.2
2025-02-15,Premium,Lima,Web,1,144.65,9.0
2025-02-15,Básico,Arequipa,Tienda,4,158.48,6.7
2025-02-16,Estándar,Piura,Web,2,124.41,6.6
2025-02-17,Básico,Lima,Web,3,199.64,7.0
2025-02-17,Estándar,Lima,Web,2,163.51,7.6
2025-02-17,Premium,Lima,Web,1,163.25,7.1
2025-02-17,Premium,Lima,Web,3,545.85,8.6
2025-02-17,Premium,Lima,Web,2,267.29,8.1
2025-02-19,Básico,Lima,Tienda,6,297.1,8.6
2025-02-20,Estándar,Lima,Tienda,2,187.8,7.1
2025-02-20,Básico,Arequipa,App,3,174.85,5.4
2025-02-20,Básico,Lima,Tienda,2,118.67,7.8
2025-02-20,Premium,Arequipa,App,1,154.42,8.9
2025-02-21,Premium,Trujillo,Web,1,129.8,7.7
2025-02-21,Premium,Arequipa,App,3,413.77,9.5
2025-02-21,Básico,Lima,Tienda,3,168.01,7.3
2025-02-21,Estándar,Lima,Web,2,187.58,6.9
2025-02-21,Premium,Lima,Web,2,339.42,7.5
2025-02-22,Premium,Trujillo,Tienda,2,211.01,8.0
2025-02-22,Básico,Lima,Tienda,2,110.69,5.7
2025-02-22,Estándar,Piura,Web,1,58.6,7.3
2025-02-22,Estándar,Lima,Tienda,4,298.64,7.9
2025-02-23,Estándar,Lima,Web,3,243.99,8.6
2025-02-23,Básico,Trujillo,App,4,210.12,7.5
2025-02-24,Estándar,Lima,App,3,265.84,8.3
2025-02-25,Estándar,Arequipa,App,4,343.43,6.9
2025-02-25,Estándar,Piura,Web,4,270.82,6.2
2025-02-25,Premium,Lima,Web,1,151.41,7.8
2025-02-25,Premium,Lima,App,1,160.98,8.2
2025-02-26,Estándar,Trujillo,Tienda,3,233.37,8.3
2025-02-26,Básico,Trujillo,Tienda,6,296.65,8.2
2025-02-27,Básico,Trujillo,App,3,178.24,5.6
2025-03-01,Estándar,Lima,App,1,117.07,7.4
2025-03-01,Estándar,Lima,App,1,101.83,7.4
2025-03-02,Estándar,Lima,App,1,98.56,5.7
2025-03-02,Estándar,Trujillo,App,1,98.14,7.8
2025-03-02,Básico,Trujillo,Tienda,2,85.13,6.6
2025-03-03,Estándar,Trujillo,Tienda,3,208.82,8.9
2025-03-04,Estándar,Lima,Tienda,1,90.72,7.4
2025-03-04,Básico,Arequipa,App,8,519.08,7.6
2025-03-05,Estándar,Lima,Tienda,5,439.21,5.4
2025-03-05,Estándar,Lima,App,1,93.01,8.8
2025-03-05,Básico,Arequipa,Tienda,5,199.35,6.7
2025-03-05,Básico,Lima,App,2,146.82,4.7
2025-03-06,Básico,Lima,Tienda,1,47.93,9.3
2025-03-06,Premium,Lima,Web,1,157.37,7.8
2025-03-07,Básico,Trujillo,Tienda,3,149.47,6.7
2025-03-08,Estándar,Lima,Tienda,2,184.93,6.5
2025-03-08,Básico,Arequipa,App,3,182.67,6.3
2025-03-08,Estándar,Piura,Web,2,146.48,8.9
2025-03-09,Básico,Lima,Tienda,2,102.97,9.5
2025-03-09,Básico,Arequipa,Tienda,4,170.51,4.8
2025-03-10,Básico,Lima,Web,4,218.21,5.0
2025-03-10,Premium,Lima,Web,4,624.32,8.2
2025-03-10,Premium,Lima,Web,1,182.81,7.8
2025-03-10,Premium,Trujillo,Tienda,1,122.4,8.7
2025-03-11,Básico,Cusco,Tienda,4,158.64,7.0
2025-03-12,Premium,Lima,Tienda,2,287.49,7.9
2025-03-12,Estándar,Lima,Web,2,191.91,8.8
2025-03-12,Básico,Cusco,Web,3,154.81,5.9
2025-03-12,Premium,Lima,Tienda,2,238.99,7.8
2025-03-13,Básico,Lima,App,2,124.39,5.6
2025-03-14,Premium,Lima,Web,5,798.5,8.1
2025-03-14,Básico,Piura,App,6,335.25,7.0
2025-03-16,Premium,Arequipa,Web,1,127.84,8.6
2025-03-17,Estándar,Cusco,App,1,96.55,7.9
2025-03-17,Básico,Piura,Web,3,147.38,6.3
2025-03-18,Básico,Arequipa,Tienda,5,234.67,6.4
2025-03-18,Básico,Cusco,Tienda,2,85.58,5.3
2025-03-19,Básico,Lima,App,4,242.36,7.7
2025-03-19,Estándar,Arequipa,App,1,78.32,6.9
2025-03-20,Básico,Cusco,Web,1,49.82,7.8
2025-03-20,Estándar,Cusco,App,2,177.86,7.8
2025-03-20,Básico,Trujillo,App,2,93.88,7.9
2025-03-21,Estándar,Arequipa,Tienda,3,242.46,7.5
2025-03-21,Estándar,Piura,Tienda,3,181.2,7.3
2025-03-22,Estándar,Piura,App,1,83.23,6.8
2025-03-22,Estándar,Trujillo,App,2,151.4,6.3
2025-03-23,Estándar,Lima,Web,3,323.47,7.4
2025-03-24,Estándar,Piura,Web,4,302.64,6.5
2025-03-24,Básico,Piura,App,3,156.77,7.4
2025-03-25,Premium,Lima,Web,1,160.85,7.7
2025-03-25,Premium,Trujillo,Web,3,463.0,7.4
2025-03-26,Básico,Piura,App,4,223.18,6.3
2025-03-26,Básico,Lima,Web,3,178.29,6.2
2025-03-26,Básico,Lima,App,5,345.77,5.7
2025-03-26,Básico,Piura,Web,1,48.21,6.9
2025-03-27,Básico,Trujillo,Tienda,1,52.42,6.3
2025-03-27,Básico,Lima,Web,3,189.96,7.9
2025-03-27,Básico,Lima,App,5,298.41,8.4
2025-03-29,Básico,Lima,Web,4,258.66,7.9
2025-03-29,Estándar,Lima,Tienda,1,85.65,8.1
2025-03-30,Básico,Trujillo,Tienda,3,111.92,6.4
2025-03-30,Básico,Arequipa,App,3,178.13,6.0
2025-03-31,Básico,Trujillo,App,4,257.05,6.5
2025-03-31,Básico,Piura,Web,5,258.13,5.8
2025-03-31,Estándar,Lima,App,2,223.45,7.4
2025-04-01,Básico,Arequipa,Tienda,1,51.44,5.6
2025-04-01,Básico,Lima,App,5,311.73,6.4
2025-04-02,Básico,Arequipa,App,5,311.75,8.5
2025-04-03,Básico,Cusco,Tienda,2,92.8,6.9
2025-04-04,Básico,Arequipa,Tienda,7,386.15,5.1
2025-04-04,Premium,Lima,Tienda,1,150.09,8.3
2025-04-05,Estándar,Cusco,Tienda,4,282.23,6.9
2025-04-05,Básico,Cusco,App,1,54.0,5.3
2025-04-05,Estándar,Arequipa,Web,1,79.17,8.1
2025-04-06,Básico,Arequipa,App,5,294.4,6.1
2025-04-06,Premium,Lima,Web,1,169.36,8.8
2025-04-06,Estándar,Lima,App,1,94.5,8.2
2025-04-07,Básico,Trujillo,Web,5,286.86,6.8
2025-04-07,Estándar,Lima,Tienda,2,146.48,6.8
2025-04-07,Básico,Piura,Web,6,262.63,7.6
2025-04-08,Básico,Lima,Web,2,130.46,8.6
2025-04-08,Básico,Lima,Tienda,4,188.24,7.8
2025-04-08,Básico,Lima,Tienda,2,96.4,8.6
2025-04-08,Estándar,Lima,Tienda,2,170.54,8.5
2025-04-09,Estándar,Piura,Web,2,143.25,8.1
2025-04-10,Premium,Lima,App,3,560.52,8.5
2025-04-10,Básico,Lima,Tienda,1,56.9,6.7
2025-04-11,Estándar,Lima,Tienda,2,164.76,7.4
2025-04-11,Premium,Trujillo,App,1,143.78,7.2
2025-04-11,Premium,Arequipa,Tienda,2,280.97,8.9
2025-04-12,Estándar,Trujillo,Web,2,175.72,6.5
2025-04-12,Premium,Lima,Web,1,135.81,8.6
2025-04-12,Estándar,Lima,Web,4,412.48,7.5
2025-04-12,Básico,Cusco,Tienda,1,50.95,5.5
2025-04-13,Estándar,Arequipa,App,1,83.95,7.6
2025-04-13,Estándar,Trujillo,Tienda,1,58.4,9.2
2025-04-14,Premium,Cusco,Web,1,150.96,9.9
2025-04-15,Básico,Trujillo,App,3,168.58,5.5
2025-04-15,Premium,Arequipa,Tienda,1,118.97,7.8
2025-04-15,Premium,Lima,App,1,168.61,8.5
2025-04-15,Básico,Lima,Web,4,203.53,5.9
2025-04-15,Estándar,Lima,Tienda,3,287.48,7.5
2025-04-16,Estándar,Piura,Tienda,1,63.17,7.2
2025-04-16,Estándar,Lima,Web,3,266.02,6.7
2025-04-16,Estándar,Piura,Web,3,186.44,6.6
2025-04-16,Estándar,Lima,App,3,346.36,7.7
2025-04-17,Estándar,Lima,App,2,176.22,6.7
2025-04-18,Premium,Arequipa,Tienda,1,128.12,6.3
2025-04-18,Premium,Lima,Tienda,1,176.99,8.8
2025-04-18,Premium,Lima,Tienda,1,157.46,10.0
2025-04-18,Básico,Cusco,Web,6,257.38,6.0
2025-04-18,Estándar,Lima,Tienda,3,223.83,7.8
2025-04-19,Básico,Cusco,Web,8,447.03,6.7
2025-04-19,Básico,Lima,Web,5,315.78,8.0
2025-04-20,Básico,Lima,Tienda,2,102.8,7.5
2025-04-21,Estándar,Piura,Tienda,1,61.93,8.9
2025-04-21,Estándar,Lima,App,2,193.81,5.7
2025-04-21,Básico,Lima,Tienda,4,216.73,7.2
2025-04-21,Estándar,Lima,App,4,397.96,6.6
2025-04-22,Estándar,Lima,Tienda,1,71.36,8.6
2025-04-22,Estándar,Lima,App,1,89.81,7.1
2025-04-22,Premium,Arequipa,App,1,131.15,7.0
2025-04-22,Básico,Cusco,App,4,214.25,7.1
2025-04-23,Básico,Trujillo,Tienda,3,134.5,7.8
2025-04-23,Estándar,Trujillo,App,3,222.17,8.1
2025-04-24,Premium,Arequipa,Web,1,117.83,7.6
2025-04-24,Básico,Piura,Tienda,1,40.89,7.6
2025-04-24,Básico,Arequipa,Tienda,2,98.52,5.9
2025-04-24,Estándar,Trujillo,Web,8,687.76,6.6
2025-04-25,Básico,Arequipa,Tienda,3,128.75,6.7
2025-04-25,Estándar,Lima,Tienda,4,314.7,6.7
2025-04-27,Estándar,Lima,App,2,249.04,6.2
2025-04-27,Básico,Piura,Web,3,126.33,6.7
2025-04-28,Estándar,Piura,Tienda,3,208.88,7.0
2025-04-28,Estándar,Lima,App,2,195.66,7.5
2025-04-28,Estándar,Arequipa,App,4,326.63,6.8
2025-05-01,Estándar,Piura,App,6,433.9,9.0
2025-05-01,Premium,Lima,Web,1,177.7,9.0
2025-05-02,Estándar,Arequipa,Tienda,4,339.91,6.0
2025-05-03,Premium,Lima,Web,4,710.33,8.3
2025-05-03,Básico,Piura,Tienda,1,44.41,5.1
2025-05-03,Básico,Lima,Web,4,262.07,6.7
2025-05-03,Premium,Trujillo,Web,3,439.04,8.1
2025-05-04,Básico,Lima,Web,4,209.48,6.3
2025-05-04,Básico,Lima,Web,7,383.27,6.6
2025-05-04,Básico,Cusco,Tienda,6,273.14,7.7
2025-05-05,Básico,Lima,Web,1,62.13,7.7
2025-05-05,Básico,Arequipa,Web,5,270.75,6.5
2025-05-06,Premium,Lima,App,5,803.49,6.9
2025-05-06,Estándar,Trujillo,Web,1,85.8,7.7
2025-05-06,Premium,Trujillo,Tienda,2,227.48,7.5
2025-05-06,Básico,Lima,Tienda,4,219.75,7.4
2025-05-08,Básico,Lima,Tienda,4,232.99,6.2
2025-05-08,Básico,Arequipa,Web,5,224.74,7.9
2025-05-09,Básico,Piura,Web,8,388.2,6.3
2025-05-10,Estándar,Arequipa,Tienda,1,56.19,7.6
2025-05-10,Básico,Cusco,Web,6,310.69,7.8
2025-05-10,Estándar,Trujillo,Tienda,1,58.35,10.0
2025-05-10,Básico,Trujillo,Tienda,2,90.12,7.3
2025-05-10,Básico,Lima,Tienda,5,326.23,5.3
2025-05-10,Básico,Lima,Web,5,282.14,8.4
2025-05-12,Básico,Cusco,App,2,102.11,7.2
2025-05-12,Básico,Arequipa,Tienda,4,225.73,6.8
2025-05-13,Premium,Lima,App,3,530.04,9.8
2025-05-13,Estándar,Lima,Web,1,88.11,9.7
2025-05-14,Estándar,Piura,App,2,150.02,7.4
2025-05-15,Básico,Cusco,Web,3,129.67,6.2
2025-05-15,Básico,Lima,App,2,142.38,7.4
2025-05-15,Básico,Arequipa,Web,5,253.11,5.4
2025-05-16,Básico,Lima,Web,7,441.6,5.5
2025-05-17,Estándar,Lima,Web,1,84.84,6.8
2025-05-18,Básico,Lima,App,2,138.93,5.7
2025-05-19,Estándar,Piura,Web,2,163.39,8.3
2025-05-20,Premium,Lima,Web,4,520.46,7.6
2025-05-20,Estándar,Lima,App,3,273.89,7.9
2025-05-21,Básico,Cusco,App,5,288.69,6.8
2025-05-21,Estándar,Piura,Web,6,317.24,8.0
2025-05-23,Básico,Arequipa,Tienda,8,403.54,8.6
2025-05-23,Básico,Trujillo,Web,7,352.64,7.4
2025-05-24,Premium,Trujillo,App,2,277.08,7.4
2025-05-24,Básico,Lima,App,1,65.64,7.4
2025-05-24,Estándar,Lima,Web,2,180.11,6.3
2025-05-25,Básico,Lima,App,2,140.16,7.7
2025-05-25,Básico,Arequipa,App,1,68.24,6.7
2025-05-25,Premium,Lima,Web,1,143.85,6.8
2025-05-26,Premium,Trujillo,Web,1,127.2,8.1
2025-05-26,Estándar,Lima,App,2,209.54,5.5
2025-05-28,Básico,Lima,App,1,56.31,6.6
2025-05-28,Estándar,Lima,App,1,96.09,8.9
2025-05-28,Básico,Lima,Tienda,2,111.65,5.5
2025-05-29,Premium,Lima,Tienda,1,141.76,8.3
2025-05-29,Estándar,Cusco,Tienda,2,156.68,7.7
2025-05-29,Estándar,Piura,App,2,148.84,8.7
2025-05-29,Estándar,Lima,Web,1,95.21,9.0
2025-05-30,Básico,Lima,Tienda,9,577.87,7.3
2025-05-30,Básico,Arequipa,Web,1,51.02,6.0
2025-05-31,Básico,Arequipa,App,1,45.62,8.6
2025-05-31,Básico,Lima,Tienda,7,400.95,5.1
2025-06-01,Básico,Cusco,Web,4,201.16,7.0
2025-06-02,Premium,Lima,Tienda,1,136.11,6.6
2025-06-02,Estándar,Lima,Tienda,2,181.42,7.9
2025-06-02,Básico,Lima,App,2,122.63,6.2
2025-06-03,Básico,Cusco,Tienda,2,89.63,7.4
2025-06-03,Básico,Trujillo,Web,2,104.5,7.2
2025-06-03,Estándar,Lima,Web,3,296.07,8.3
2025-06-03,Estándar,Lima,Web,1,91.92,6.8
2025-06-04,Estándar,Lima,Tienda,1,88.98,8.3
2025-06-04,Estándar,Lima,App,2,195.69,5.5
2025-06-04,Estándar,Piura,Web,4,290.31,7.9
2025-06-04,Básico,Piura,App,9,344.79,6.6
2025-06-04,Estándar,Lima,Web,3,231.68,6.4
2025-06-04,Estándar,Lima,Web,4,314.83,6.8
2025-06-05,Básico,Lima,Tienda,2,104.83,7.4
2025-06-05,Estándar,Trujillo,Web,3,203.61,7.7
2025-06-06,Estándar,Lima,App,2,224.1,7.3
2025-06-07,Premium,Cusco,App,2,306.47,9.8
2025-06-07,Estándar,Cusco,Tienda,3,210.91,9.3
2025-06-07,Premium,Lima,Web,2,360.04,6.2
2025-06-07,Premium,Lima,Tienda,1,138.52,9.0
2025-06-07,Estándar,Lima,App,3,247.76,6.8
2025-06-07,Estándar,Trujillo,Tienda,1,64.56,5.1
2025-06-07,Básico,Lima,App,1,66.56,7.2
2025-06-08,Estándar,Lima,Web,4,467.23,7.1
2025-06-08,Básico,Arequipa,Web,3,132.05,7.7
2025-06-08,Premium,Lima,Tienda,2,315.6,8.8
2025-06-08,Premium,Arequipa,App,4,542.19,6.9
2025-06-09,Estándar,Lima,App,5,549.8,7.0
2025-06-09,Básico,Lima,Web,2,96.91,6.4
2025-06-10,Estándar,Arequipa,App,3,261.71,8.2
2025-06-10,Básico,Lima,Web,2,110.36,6.1
2025-06-11,Estándar,Piura,Web,1,67.71,8.3
2025-06-12,Estándar,Cusco,Tienda,3,188.13,7.8
2025-06-14,Básico,Lima,Web,1,61.46,5.6
2025-06-15,Básico,Lima,App,5,362.36,7.2
2025-06-16,Estándar,Piura,App,2,172.4,6.9
2025-06-16,Estándar,Lima,Web,1,81.14,5.1
2025-06-16,Estándar,Cusco,Tienda,1,67.82,6.4
2025-06-16,Estándar,Lima,Tienda,1,88.84,5.7
2025-06-17,Básico,Arequipa,App,4,254.18,5.2
2025-06-17,Premium,Arequipa,Tienda,2,211.43,9.3
2025-06-17,Premium,Lima,App,1,171.05,8.9
2025-06-18,Básico,Arequipa,Web,2,116.3,4.8
2025-06-18,Premium,Trujillo,App,1,146.78,7.0
2025-06-18,Básico,Lima,Web,2,110.07,5.8
2025-06-18,Estándar,Lima,Tienda,1,93.43,5.7
2025-06-19,Básico,Cusco,App,1,47.52,6.0
2025-06-20,Estándar,Arequipa,Tienda,2,131.51,7.1
2025-06-20,Básico,Lima,Tienda,3,162.23,6.4
2025-06-20,Premium,Lima,Tienda,1,129.67,7.5
2025-06-20,Estándar,Piura,Web,8,604.18,6.3
2025-06-21,Básico,Cusco,App,1,58.21,6.1
2025-06-21,Básico,Lima,App,1,60.28,6.1
2025-06-23,Básico,Lima,Web,4,244.68,7.5
2025-06-23,Premium,Trujillo,Web,2,227.56,6.5
2025-06-23,Estándar,Trujillo,Web,3,221.53,6.8
2025-06-25,Estándar,Lima,Web,8,759.21,9.0
2025-06-25,Básico,Cusco,Web,3,122.23,6.6
2025-06-25,Estándar,Lima,Web,3,297.18,7.3
2025-06-26,Básico,Cusco,App,3,160.82,6.6
2025-06-27,Básico,Arequipa,Web,3,154.14,6.3
2025-06-27,Básico,Lima,Web,6,374.76,7.0
2025-06-27,Premium,Lima,Web,1,165.64,9.8
2025-06-27,Estándar,Cusco,App,2,170.93,7.7
2025-06-28,Premium,Lima,Tienda,2,307.08,8.7
2025-06-28,Básico,Arequipa,Web,3,202.42,8.9
2025-06-29,Premium,Lima,Web,1,164.84,6.9
