id_estudiante,edad,genero,horas_estudio_dia,horas_redes_sociales,netflix_hours,trabajo_medio_tiempo,porcentaje_asistencia,horas_sueno,calidad_dieta,frecuencia_ejercicio,nivel_educacion_padres,calidad_internet,nivel_salud_mental,participacion_extracurricular,nota_examen
S1082,21,Femenino,2.6,4.9,0.0,Si,86.6,6.3,Regular,6,Secundaria,Mala,4,No,60.2
S1083,24,Masculino,2.0,0.6,3.0,No,89.0,7.7,Mala,6,Secundaria,Buena,2,Si,50.5
S1084,23,Femenino,2.5,4.4,1.6,No,84.4,6.8,Regular,5,Bachelor,Regular,4,No,51.3
S1085,19,Masculino,1.7,2.6,2.6,No,77.6,7.0,Buena,4,Bachelor,Buena,6,No,53.5
S1086,22,Masculino,3.6,1.4,2.3,No,83.1,9.5,Buena,5,Bachelor,Mala,6,No,79.2
S1087,17,Masculino,2.3,0.9,1.0,No,69.0,6.2,Regular,1,Master,Regular,2,Si,47.2
S1088,20,Masculino,3.9,2.3,2.1,No,100.0,6.1,Mala,6,Bachelor,Buena,4,No,73.4
S1089,18,Masculino,1.2,3.6,0.0,No,72.7,6.6,Mala,4,Secundaria,Regular,4,Si,41.1
S1090,24,Masculino,4.0,2.3,2.5,No,74.7,7.8,Regular,6,Bachelor,Buena,1,No,77.8
S1091,20,Femenino,4.8,4.3,2.1,No,80.6,4.7,Regular,5,Secundaria,Regular,2,No,63.4
S1092,18,Masculino,0.5,0.8,2.5,Si,97.9,4.1,Mala,4,Secundaria,Buena,3,No,43.9
S1093,22,Masculino,4.1,2.5,3.0,No,85.1,5.8,Buena,4,,Buena,5,No,70.2
S1094,22,Femenino,5.3,1.0,2.2,No,72.6,4.5,Regular,0,Secundaria,Regular,8,No,81.3
S1095,22,Masculino,1.7,2.9,2.0,No,97.5,6.0,Buena,0,Secundaria,Buena,6,No,50.2
S1096,18,Femenino,6.0,3.6,0.8,No,92.3,7.1,Buena,0,Secundaria,Buena,3,No,87.9
S1097,20,Masculino,4.1,2.0,1.0,No,90.4,5.4,Buena,5,Bachelor,Regular,6,No,80.9
S1098,22,Masculino,2.4,0.0,3.1,No,92.2,4.8,Buena,3,Bachelor,Buena,7,Si,63.9
S1099,21,Masculino,3.4,2.7,3.4,No,100.0,6.6,Buena,1,Secundaria,Buena,6,No,65.6
S1100,23,Masculino,4.3,3.0,1.5,No,100.0,7.5,Buena,5,,Regular,10,Si,93.2
S1101,18,Masculino,3.6,3.0,1.9,No,78.1,4.5,Buena,6,Bachelor,Regular,6,No,74.0
S1102,18,Masculino,4.3,4.0,0.8,No,100.0,7.5,Regular,0,,Regular,1,No,60.8
S1103,20,Masculino,2.1,1.2,3.1,No,88.8,7.5,Buena,4,Master,Regular,3,No,50.4
S1104,18,Masculino,3.8,3.3,2.5,No,90.0,7.6,Buena,5,Bachelor,Buena,7,No,74.3
S1105,18,Masculino,1.4,3.9,3.9,Si,68.1,8.0,Buena,4,Secundaria,Regular,4,Si,32.8
S1106,22,Masculino,3.3,0.4,0.8,No,83.3,9.1,Buena,6,Secundaria,Buena,4,Si,82.3
S1107,20,Masculino,2.1,2.9,1.4,No,76.9,6.1,Regular,4,,Regular,7,No,60.4
S1108,22,Femenino,2.4,1.9,2.1,No,93.3,6.6,Mala,4,Secundaria,Regular,9,Si,60.0
S1109,23,Femenino,5.4,2.4,2.5,No,95.7,6.0,Regular,2,Secundaria,Buena,2,No,77.5
S1110,24,Masculino,5.1,2.9,1.6,No,64.3,6.5,Regular,3,Bachelor,Regular,9,Si,86.5
S1111,23,Femenino,4.4,1.9,0.8,No,84.8,8.3,Buena,1,Secundaria,Regular,3,No,76.9
S1112,24,Femenino,1.9,1.7,2.8,No,96.2,4.9,Regular,1,Bachelor,Mala,6,Si,43.9
S1113,22,Masculino,3.0,2.5,2.6,No,83.1,5.5,Regular,0,Bachelor,Regular,4,No,51.3
S1114,23,Femenino,5.3,1.2,0.8,No,92.3,8.2,Regular,2,Secundaria,Regular,1,No,83.3
S1115,20,Femenino,3.7,1.2,3.3,No,88.5,7.7,Mala,5,,Buena,9,No,82.7
S1116,17,Masculino,7.0,3.3,3.1,No,88.4,6.1,Buena,5,,Regular,6,Si,94.8
S1117,22,Masculino,4.1,1.1,1.9,No,82.3,7.5,Buena,1,,Buena,8,No,80.8
S1118,24,Femenino,3.8,3.3,1.9,No,72.8,6.9,Mala,3,Bachelor,Buena,2,Si,58.3
S1119,21,Femenino,3.0,3.1,2.4,Si,73.8,8.3,Regular,4,Secundaria,Regular,7,No,66.3
S1120,24,Masculino,3.7,0.4,0.9,No,92.1,6.6,Regular,6,Bachelor,Regular,6,No,87.9
S1121,21,Masculino,3.3,1.7,1.8,No,85.2,7.7,Mala,0,Secundaria,Buena,2,No,60.5
S1122,18,Masculino,4.6,3.9,0.0,No,83.6,9.7,Mala,3,Secundaria,Buena,2,No,84.8
S1123,23,Femenino,4.9,1.3,2.8,No,80.8,7.2,Buena,1,Bachelor,Regular,4,No,77.0
S1124,21,Femenino,2.3,1.9,0.1,No,81.9,6.6,Regular,2,Bachelor,Regular,4,No,61.7
S1125,24,Masculino,1.5,3.1,3.5,No,95.5,7.4,Regular,0,Secundaria,Regular,3,No,44.0
S1126,18,Masculino,0.7,3.4,1.4,Si,81.6,6.1,Mala,1,Secundaria,Mala,8,No,42.4
S1127,17,Femenino,4.3,2.2,1.6,No,71.6,9.4,Buena,5,Bachelor,Buena,7,No,88.0
S1128,20,Masculino,1.8,1.8,1.1,No,92.4,6.7,Buena,0,Secundaria,Buena,2,No,48.7
S1129,20,Masculino,0.3,4.2,1.5,No,83.0,6.2,Buena,1,Secundaria,Regular,3,Si,26.8
S1130,20,Femenino,4.1,4.6,3.4,No,85.3,5.5,Mala,5,Bachelor,Buena,10,No,81.6
S1131,21,Femenino,7.2,3.7,0.0,No,100.0,7.8,Buena,6,Secundaria,Buena,9,No,100.0
S1132,17,Femenino,3.5,2.6,3.2,Si,84.8,7.5,Regular,5,Bachelor,Regular,5,Si,74.0
S1133,21,Femenino,4.8,1.5,2.2,No,87.9,5.9,Regular,4,Bachelor,Mala,2,Si,78.4
S1134,23,Masculino,3.6,1.5,0.5,No,73.2,7.2,Regular,2,Bachelor,Buena,3,No,70.7
S1135,21,Masculino,3.4,3.1,0.6,No,82.8,4.7,Regular,4,Bachelor,Buena,8,No,74.3
S1136,17,Femenino,4.9,3.0,3.6,No,91.1,6.7,Buena,1,Bachelor,Buena,4,No,67.6
S1137,17,Masculino,3.1,4.2,0.8,No,69.4,7.0,Buena,6,Bachelor,Mala,2,No,64.7
S1138,23,Masculino,3.9,3.3,0.5,No,87.0,8.5,Regular,3,Master,Regular,2,No,64.1
S1139,17,Masculino,4.0,0.7,3.1,No,86.0,5.6,Buena,6,Secundaria,Mala,6,No,83.5
S1140,24,Masculino,2.5,3.8,2.2,No,85.4,5.0,Buena,6,Secundaria,Buena,8,No,63.4
S1141,17,Masculino,5.0,1.3,0.8,No,95.4,5.4,Buena,6,Bachelor,Buena,7,No,96.2
S1142,20,Masculino,3.2,2.0,2.0,No,88.3,4.9,Regular,4,Bachelor,Mala,4,Si,65.4
S1143,24,Masculino,2.4,2.8,0.7,No,99.8,8.1,Regular,3,,Buena,2,No,62.0
S1144,24,Masculino,4.3,4.9,3.0,No,75.1,8.4,Regular,5,Master,Buena,9,Si,74.0
S1145,23,Femenino,2.2,6.2,3.0,No,86.4,6.9,Buena,1,,Buena,4,No,46.7
S1146,19,Femenino,3.5,3.2,2.4,No,85.8,8.0,Mala,2,Bachelor,Buena,9,No,75.5
S1147,19,Femenino,3.5,2.3,2.2,No,74.3,6.7,Regular,3,Bachelor,Mala,5,Si,78.1
S1148,17,Femenino,5.1,3.1,3.7,No,94.6,6.4,Regular,1,Master,Buena,7,No,85.2
S1149,24,Femenino,4.2,3.6,1.8,Si,100.0,6.1,Regular,3,,Mala,5,No,75.4
S1150,19,Masculino,3.5,2.1,0.5,Si,84.8,6.1,Buena,4,Bachelor,Regular,2,No,64.2
S1151,19,Femenino,4.7,4.7,2.3,No,90.1,4.6,Buena,1,Secundaria,Buena,6,No,69.7
S1152,17,Femenino,5.6,2.8,4.1,No,85.8,6.8,Buena,4,Secundaria,Buena,7,No,90.3
S1153,19,Femenino,4.3,3.1,0.7,No,77.9,6.5,Buena,0,,Regular,6,No,81.4
S1154,21,Masculino,3.5,3.3,1.4,No,66.8,7.4,Regular,1,Bachelor,Buena,3,No,65.0
S1155,18,Masculino,1.5,3.0,2.3,No,77.9,6.6,Regular,3,Secundaria,Buena,10,No,57.3
S1156,23,Masculino,1.9,3.5,1.7,Si,71.1,6.3,Regular,0,Secundaria,Buena,8,No,57.7
S1157,18,Masculino,3.0,1.8,0.7,No,100.0,5.5,Mala,4,Bachelor,Mala,3,No,56.7
S1158,17,Femenino,2.6,1.8,3.0,No,83.8,6.6,Regular,4,Bachelor,Buena,5,Si,62.3
S1159,20,Femenino,3.2,1.2,4.4,No,81.5,7.4,Buena,3,Bachelor,Regular,9,No,77.9
S1160,23,Masculino,3.6,3.0,2.0,No,93.9,5.1,Regular,0,Master,Regular,5,No,65.2
S1161,17,Other,4.3,3.4,0.8,No,73.8,6.6,Buena,6,Secundaria,Regular,7,No,76.8
S1162,24,Femenino,3.4,3.0,0.1,No,77.3,6.8,Regular,5,Master,Regular,7,No,83.8
S1163,20,Masculino,4.2,4.5,2.1,No,85.7,5.6,Mala,2,Master,Buena,5,No,70.6
S1164,18,Masculino,3.6,2.5,3.0,No,95.3,5.8,Mala,3,Secundaria,Regular,2,Si,63.1
S1165,17,Masculino,0.5,3.3,2.3,No,90.0,6.8,Regular,4,Secundaria,Buena,5,No,39.0
S1166,24,Masculino,2.1,1.2,1.8,No,87.5,5.1,Regular,1,Secundaria,Regular,7,No,66.7
S1167,23,Masculino,3.3,2.0,1.2,Si,85.8,6.9,Mala,0,Secundaria,Buena,7,No,72.2
S1168,23,Masculino,1.7,3.3,0.6,No,89.0,5.4,Regular,5,Bachelor,Buena,4,Si,50.1
S1169,22,Masculino,4.4,3.5,2.7,Si,87.0,7.8,Regular,2,Bachelor,Buena,1,No,62.4
S1170,24,Masculino,5.8,2.1,2.8,No,74.7,9.3,Regular,1,Bachelor,Buena,6,No,96.6
S1171,21,Femenino,5.3,2.4,0.1,No,85.5,5.5,Buena,0,Bachelor,Buena,3,Si,85.8
S1172,19,Masculino,3.2,0.7,3.5,No,74.3,7.1,Buena,5,Secundaria,Buena,5,No,68.3
S1173,20,Femenino,5.7,2.1,2.4,No,85.8,5.6,Regular,3,Master,Buena,4,Si,83.8
S1174,24,Masculino,3.7,3.6,3.3,Si,80.2,7.7,Buena,5,Secundaria,Mala,2,No,69.3
S1175,22,Other,3.0,3.2,0.3,No,100.0,5.0,Buena,3,Master,Buena,7,No,65.3
S1176,19,Masculino,2.6,3.1,0.3,No,84.6,7.1,Buena,6,Secundaria,Regular,5,Si,77.5
S1177,19,Masculino,3.0,2.6,1.6,No,71.0,5.5,Regular,0,Master,Regular,7,Si,55.0
S1178,17,Other,2.9,2.5,2.4,Si,83.7,6.3,Mala,5,,Buena,9,No,65.2
S1179,19,Femenino,3.8,1.7,3.8,No,90.2,5.3,Buena,2,Secundaria,Regular,4,No,58.1
S1180,21,Femenino,3.7,3.3,2.6,Si,100.0,7.5,Regular,5,,Buena,5,No,69.2
S1181,23,Masculino,3.5,3.0,1.5,Si,79.1,5.5,Buena,0,Bachelor,Regular,9,No,67.4
S1182,22,Masculino,4.2,3.1,0.7,No,69.2,7.2,Buena,1,Master,Mala,10,No,79.9
S1183,19,Femenino,5.3,1.9,3.2,No,93.2,6.1,Regular,1,Secundaria,Regular,4,Si,85.7
S1184,17,Femenino,4.9,0.0,0.7,No,71.2,6.4,Regular,5,Master,Mala,5,No,96.2
S1185,21,Femenino,1.3,3.8,3.6,Si,80.6,6.7,Regular,5,Bachelor,Buena,5,No,40.4
S1186,18,Femenino,0.0,1.9,1.5,No,82.4,5.6,Regular,3,Bachelor,Regular,8,No,55.2
S1187,23,Masculino,4.9,1.5,3.5,No,84.3,6.8,Regular,0,Bachelor,Regular,4,No,73.8
S1188,23,Femenino,1.4,3.3,2.5,No,91.9,8.3,Regular,3,Secundaria,Mala,4,Si,46.5
S1189,22,Masculino,3.2,2.0,1.6,No,78.2,5.6,Regular,2,Secundaria,Regular,7,Si,60.5
S1190,23,Masculino,1.7,3.8,1.2,No,82.3,7.9,Mala,6,Master,Buena,5,No,55.4
S1191,19,Masculino,0.8,3.2,1.4,No,84.9,8.3,Buena,1,Master,Regular,6,No,45.1
S1192,17,Femenino,4.3,3.3,2.3,No,86.5,5.5,Mala,4,Master,Buena,6,No,69.4
S1193,23,Masculino,4.6,0.9,1.9,No,86.0,4.8,Buena,4,Master,Buena,6,No,81.3
S1194,23,Masculino,2.6,4.0,1.1,No,89.4,6.9,Buena,0,Secundaria,Buena,10,No,66.6
S1195,18,Femenino,0.0,2.8,1.6,No,93.4,5.8,Regular,0,Bachelor,Buena,5,No,26.7
S1196,18,Masculino,2.7,2.1,1.9,No,88.9,8.7,Buena,4,Secundaria,Mala,5,No,64.5
S1197,20,Femenino,4.1,2.7,0.0,No,89.5,6.5,Regular,0,Master,Regular,9,Si,87.1
S1198,21,Masculino,1.3,0.4,2.3,Si,69.2,5.5,Buena,1,Secundaria,Buena,8,Si,42.2
S1199,19,Femenino,3.8,3.0,0.7,No,85.5,5.1,Regular,2,Bachelor,Buena,4,No,61.6
S1200,23,Femenino,3.5,1.3,0.5,No,89.8,7.8,Regular,2,Bachelor,Buena,7,No,81.9
S1201,24,Masculino,4.4,0.9,0.0,No,92.3,5.8,Regular,3,Secundaria,Buena,8,No,96.5
S1202,23,Masculino,3.7,0.7,0.0,No,78.1,6.6,Regular,1,,Regular,9,No,85.1
S1203,17,Masculino,2.0,3.8,0.3,No,78.4,7.6,Regular,6,Master,Mala,5,No,58.5
S1204,20,Masculino,5.3,1.7,1.0,No,79.3,5.9,Regular,0,Bachelor,Buena,3,Si,78.4
S1205,21,Other,3.3,4.3,3.9,No,90.4,6.4,Regular,0,Secundaria,Buena,4,No,56.4
S1206,24,Masculino,3.5,1.9,1.2,No,95.3,6.5,Mala,6,Bachelor,Regular,10,Si,92.6
S1207,20,Femenino,2.1,0.5,2.0,No,80.9,7.3,Mala,3,Bachelor,Buena,6,Si,62.3
S1208,22,Masculino,2.8,1.2,2.2,Si,94.1,7.2,Regular,3,Secundaria,Regular,10,No,75.8
S1209,21,Femenino,2.2,4.0,1.9,No,86.2,6.2,Mala,0,Secundaria,Regular,5,Si,47.1
S1210,23,Femenino,3.2,2.3,1.7,Si,83.8,6.6,Mala,0,Master,Buena,9,No,66.3
S1211,23,Femenino,6.1,1.8,0.5,No,82.9,6.1,Buena,6,Bachelor,Buena,3,Si,98.3
S1212,21,Masculino,1.4,2.7,3.4,No,92.5,4.7,Mala,1,Bachelor,Regular,2,Si,29.7
S1213,23,Masculino,1.1,3.1,3.8,No,88.3,6.8,Buena,6,Bachelor,Mala,6,No,45.5
S1214,19,Masculino,5.7,3.8,0.0,No,100.0,8.8,Regular,3,,Regular,7,No,100.0
S1215,21,Femenino,3.2,4.2,0.7,No,76.5,5.4,Buena,6,Secundaria,Buena,5,Si,67.5
S1216,20,Femenino,2.5,2.1,1.5,No,90.2,5.6,Regular,6,Secundaria,Regular,1,Si,60.3
S1217,21,Other,5.1,0.9,0.7,No,79.7,5.5,Regular,6,Secundaria,Buena,3,No,87.0
S1218,24,Masculino,2.6,2.0,2.4,No,76.3,7.4,Regular,1,Bachelor,Buena,3,No,48.5
S1219,23,Femenino,6.2,2.8,1.0,No,84.9,7.0,Regular,5,Master,Buena,4,No,100.0
S1220,19,Femenino,4.5,1.3,4.2,No,86.4,6.3,Regular,0,Secundaria,Regular,10,No,82.1
S1221,19,Masculino,2.8,1.4,3.1,No,100.0,5.4,Mala,4,Secundaria,Buena,6,Si,63.7
S1222,22,Masculino,6.7,2.9,2.0,No,83.2,6.6,Buena,6,Bachelor,Regular,5,No,100.0
S1223,20,Femenino,2.6,2.4,2.9,No,73.7,4.6,Regular,4,Master,Regular,1,No,41.9
S1224,18,Femenino,4.6,2.5,3.0,No,87.7,6.7,Regular,5,Bachelor,Mala,6,No,72.7
S1225,18,Femenino,3.9,1.6,1.2,No,64.3,7.5,Buena,0,Master,Regular,9,Si,74.3
S1226,21,Masculino,5.5,2.2,0.9,Si,84.1,5.0,Regular,3,Bachelor,Buena,1,No,88.7
S1227,22,Femenino,5.8,1.4,1.9,No,85.2,4.7,Buena,4,Bachelor,Regular,8,Si,96.6
S1228,17,Masculino,3.5,3.6,2.7,No,92.9,8.4,Regular,3,Secundaria,Regular,8,Si,72.6
S1229,21,Masculino,2.4,3.7,2.0,No,94.7,5.8,Buena,4,Secundaria,Buena,3,Si,52.4
S1230,22,Masculino,4.2,0.3,0.1,No,80.0,7.9,Mala,3,Secundaria,Mala,9,Si,100.0
S1231,20,Femenino,2.5,1.4,0.9,No,83.5,6.3,Buena,6,Bachelor,Buena,8,No,73.1
S1232,20,Femenino,6.5,0.7,1.7,No,77.3,6.3,Buena,4,Master,Regular,3,No,100.0
S1233,20,Femenino,3.7,1.7,1.7,No,73.7,7.0,Regular,3,Master,Mala,10,Si,80.8
S1234,20,Masculino,3.0,2.4,4.0,No,88.1,5.4,Mala,5,Secundaria,Buena,5,No,62.9
S1235,20,Femenino,3.8,0.8,0.3,No,72.3,6.7,Regular,1,Secundaria,Mala,3,No,71.5
S1236,22,Masculino,1.5,1.4,2.4,No,80.9,6.0,Buena,3,Secundaria,Buena,5,No,46.2
S1237,22,Femenino,2.0,1.3,3.4,Si,75.0,4.9,Regular,1,Secundaria,Regular,9,No,53.8
S1238,19,Masculino,5.3,2.7,4.3,No,90.5,6.9,Regular,1,Bachelor,Mala,4,Si,74.2
S1239,24,Masculino,2.5,2.6,1.4,No,100.0,6.2,Mala,0,Master,Mala,6,No,52.5
S1240,18,Masculino,1.9,1.6,2.3,No,72.0,6.3,Regular,6,Master,Mala,3,No,51.2
S1241,23,Masculino,4.3,2.7,2.4,Si,66.5,5.0,Regular,5,Bachelor,Mala,3,No,60.6
S1242,20,Femenino,5.3,1.8,2.0,No,83.8,8.4,Buena,1,Bachelor,Buena,5,No,91.5
